
02/03/2021 20:35:20
Dept	Year	Times Accessed	Duration
EE	2	2		0.0
EE	3	3		0.0
EE	4	2		0.0
FT	1	3		0.0
FT	2	2		0.0
FT	3	3		0.0
FT	4	2		0.0
IT	1	4		0.015607357025146484
IT	2	4		0.0
IT	3	4		0.0
IT	4	3		0.0
ME	1	3		0.0
ME	2	2		0.0
ME	3	3		0.0
ME	4	2		0.0

07/03/2021 18:14:00
Dept	Year	Times Accessed	Duration
CE	1	3		0.01560664176940918
CE	2	2		0.0
CE	3	3		0.0
CE	4	2		0.0
CSE	1	3		0.0
CSE	2	2		0.0
CSE	3	3		0.0
CSE	4	3		0.0
ECE	1	4		0.0
ECE	2	3		0.0
ECE	3	4		0.0
ECE	4	3		0.0
EE	1	3		0.0
EE	2	2		0.0
EE	3	3		0.0
EE	4	2		0.015644073486328125
FT	1	3		0.0
FT	2	2		0.0
FT	3	3		0.0
FT	4	2		0.0
IT	1	4		0.0
IT	2	4		0.0
IT	3	4		0.0
IT	4	3		0.0
ME	1	3		0.0
ME	2	2		0.0
ME	3	3		0.0
ME	4	2		0.0

07/03/2021 18:19:19
Dept	Year	Times Accessed	Duration
CE	1	3		0.0009999275207519531
CE	2	2		0.0005180835723876953
CE	3	3		0.001007080078125
CE	4	2		0.0009992122650146484
CSE	1	3		0.001001596450805664
CSE	2	2		0.0004999637603759766
CSE	3	3		0.0004999637603759766
CSE	4	3		0.0015048980712890625
ECE	1	4		0.0010004043579101562
ECE	2	3		0.0
ECE	3	4		0.0005006790161132812
ECE	4	3		0.0005004405975341797
EE	1	3		0.0005009174346923828
EE	2	2		0.0004825592041015625
EE	3	3		0.001001119613647461
EE	4	2		0.0
FT	1	3		0.0004990100860595703
FT	2	2		0.0004999637603759766
FT	3	3		0.0
FT	4	2		0.000518798828125
IT	1	4		0.003501415252685547
IT	2	4		0.0009796619415283203
IT	3	4		0.0004999637603759766
IT	4	3		0.0010225772857666016
ME	1	3		0.0010004043579101562
ME	2	2		0.0
ME	3	3		0.0004999637603759766
ME	4	2		0.0004992485046386719

07/03/2021 21:32:55
Dept	Year	Times Accessed	Duration
CE	1	3		0.011039018630981445
CE	2	2		0.07072901725769043
CE	3	3		0.021512508392333984
CE	4	2		0.02530980110168457
CSE	1	3		0.002787351608276367
CSE	2	2		0.03413033485412598
CSE	3	3		0.004002809524536133
CSE	4	3		0.012383460998535156
ECE	1	4		0.006488323211669922
